iso3,year,gdp_usd,population,inflation_rate,gdp_log,pop_log,node_id
FRO,2018,3188600927.46688,50996.0,0.0,21.882848077120737,10.839522086446879,62
FSM,2018,392000000.0,109909.0,0.0,19.786772400305757,11.607417128062947,63
GAB,2018,16867326401.9626,2212318.0,0.0,23.54864423860691,14.609551844608168,64
GBR,2018,2897028009916.05,66289000.0,0.0,28.694706503263102,18.00953454395769,65
GEO,2018,17902544880.6471,3726549.0,0.0,23.60820871184667,15.130993430629678,66
GHA,2018,67259353965.6087,30637585.0,0.0,24.93182193819618,17.23773811383211,67
GIN,2018,11857030366.7891,12704774.0,0.0,23.196186808588763,16.35748846501642,68
GMB,2018,1670671327.81651,2399632.0,0.0,21.236491375900712,14.690826366958563,69
GNB,2018,1554133593.91699,1922168.0,0.0,21.164184053611844,14.468964793887201,70
GNQ,2018,13097012133.6159,1616422.0,0.0,23.295649959811985,14.295726241236423,71
GRC,2018,213298873494.394,10732882.0,0.0,26.085960181094222,16.188822764444588,72
GRD,2018,1166514814.81481,115691.0,0.0,20.87728635042938,11.65868676645238,73
GRL,2018,3055782146.15957,56023.0,0.0,21.840301418785426,10.933535449335354,74
GTM,2018,73328356007.6152,16845685.0,0.0,25.01821321971742,16.6396051582441,75
GUM,2018,6051000000.0,162679.0,0.0,22.52348938475186,11.999540360021161,76
GUY,2018,4787636997.85343,791556.0,0.0,22.289302806992243,13.581757170871324,77
HKG,2018,361731070995.726,7452600.0,0.0,26.61416687488777,15.82407365694169,78
HND,2018,24067750760.499,9765210.0,0.0,23.904138638654214,16.094336729842368,79
HRV,2018,61667925219.0755,3988775.0,0.0,24.845029782122563,15.198994974886157,80
HTI,2018,16403864617.8458,10962362.0,0.0,23.52078279150665,16.209978418435114,81
HUN,2018,161184691013.835,9706964.0,0.0,25.805816693618507,16.08835422704245,82
IDN,2018,1042271532988.63,269951846.0,0.0,27.67242361359429,19.413754156612942,83
IND,2018,2702929641648.74,1374659064.0,0.0,28.625357353157753,21.041471584592312,84
IRL,2018,395780319816.603,4898022.0,0.0,26.70412514633598,15.404342212277427,85
IRN,2018,411903303606.044,86117998.0,0.0,26.744054458766684,18.271228995169597,86
